number,title,creator,seasons,episodes,primaryTime,premiereDate,finaleDate,DC,Synd,ABC,CBS/UPN,Toon,XD,Junior,D+
1,The Wuzzles,Carson Van Osten,1,13,5,1985-09-14,1985-12-07,0,0,0,1,0,0,0,0
2,Adventures of the Gummi Bears,"Michael Eisner, Jymn Magon",6,95,11,1985-09-14,1991-02-22,0,1,1,0,0,0,0,0
3,DuckTales (1987),Jymn Magon,4,101,22,1987-09-18,1990-11-28,0,1,0,0,0,0,0,0
4,The New Adventures of Winnie the Pooh,Karl Geurs,4,82,11,1988-01-17,1991-10-26,1,0,1,0,0,0,0,0
5,Chip 'n Dale: Rescue Rangers,"Tad Stones, Alan Zaslove",3,65,22,1989-03-04,1990-11-19,1,1,0,0,0,0,0,0
6,TaleSpin,"Jymn Magon, Mark Zaslove",1,65,22,1990-09-07,1991-08-08,1,1,0,0,0,0,0,0
7,Darkwing Duck,Tad Stones,3,91,22,1991-09-06,1992-12-05,0,1,1,0,0,0,0,0
8,Goof Troop,"Robert Taylor, Michael Peraza Jr.",2,78,22,1992-09-05,1992-12-05,0,1,1,0,0,0,0,0
9,The Little Mermaid,Jamie Mitchell,3,31,22,1992-09-11,1994-11-26,0,0,0,1,0,0,0,0
10,Raw Toonage,"Larry Latham, Ed Wexler",1,39,5,1992-09-19,1992-12-05,0,0,0,1,0,0,0,0
11,Bonkers,"Larry Latham, Duane Capizzi, Robert Taylor",4,65,22,1993-02-28,1994-02-23,0,1,0,0,0,0,0,0
12,Marsupilami,"Andre Franquin, Ed Wexler",1,39,5,1993-09-18,1993-12-11,0,0,0,1,0,0,0,0
13,Aladdin,"Tad Stones, Alan Zaslove",3,86,22,1994-02-06,1995-11-23,1,1,0,1,0,0,0,0
14,Gargoyles,"Greg Weisman, Michael Reaves",3,78,22,1994-10-24,1997-02-15,0,1,1,0,0,0,0,0
15,The Shnookums and Meat Funny Cartoon Show,Bill Kopp,1,39,5,1995-01-02,1995-03-27,0,1,0,0,0,0,0,0
16,Timon and Pumbaa,"Bobs Gannaway, Tony Craig",3,170,11,1995-09-08,1999-09-24,0,1,0,1,1,0,0,0
17,Quack Pack,"Toby Shelton, Kevin Hopps",1,39,22,1996-09-03,1996-11-28,0,1,0,0,0,0,0,0
18,Mighty Ducks: The Animated Series,"Marty Isenberg, Robert N. Skir, David Wise",1,26,22,1996-09-06,1997-01-17,0,1,1,0,0,0,0,0
19,Disney's Doug,Jim Jinkins,3,65,22,1996-09-07,1999-06-26,0,0,1,0,0,0,0,0
20,Jungle Cubs,Mark S. Bernthal,2,34,11,1996-10-05,1998-01-10,0,0,1,0,0,0,0,0
21,Nightmare Ned,"Terry Shakespeare, Sue Shakespeare, David Molina",1,25,11,1997-04-19,1997-07-05,0,0,1,0,0,0,0,0
22,101 Dalmatians: The Series,"Jim Jinkins, David Campbell",2,105,11,1997-09-01,1998-03-04,0,1,1,0,0,0,0,0
23,Recess,"Paul Germain, Joe Ansolabehere",6,127,11,1997-09-13,2001-11-05,0,0,1,1,0,0,0,0
24,Pepper Ann,Sue Rose,5,113,11,1997-09-13,2000-11-18,0,0,1,1,0,0,0,0
25,PB&J Otter,Jim Jinkins,3,128,11,1998-03-15,2000-10-15,1,0,0,0,0,0,0,0
26,Hercules: The Animated Series,Tad Stones,2,65,22,1998-08-31,1999-03-01,0,1,1,0,0,0,0,0
27,Mickey Mouse Works,Bobs Gannaway,2,96,5,1999-05-01,2000-12-16,0,0,1,0,0,0,0,0
28,The Weekenders,Doug Langdale,4,73,11,2000-02-26,2004-02-29,0,0,1,1,1,0,0,0
29,Clerks: The Animated Series,"David Mandel, Scott Mosier, Kevin Smith",1,6,22,2000-05-31,2002-12-14,0,0,1,0,0,0,0,0
30,Teacher's Pet,"Gary Baseman, Bill Steinkellner, Cheri Steinkellner",2,47,22,2000-09-09,2002-05-10,0,0,1,0,1,0,0,0
31,Buzz Lightyear of Star Command,"Mark McCorkle, Bob Schooley",1,62,22,2000-10-02,2001-01-13,0,0,1,1,0,0,0,0
32,House of Mouse,"Bobs Gannaway, Tony Craig",3,52,22,2001-01-13,2003-10-24,0,0,1,0,1,0,0,0
33,Lloyd in Space,"Paul Germain, Joe Ansolabehere",4,39,22,2001-02-03,2004-02-27,0,0,1,0,1,0,0,0
34,The Legend of Tarzan,"Bob Roth, Bill Motz",2,39,22,2001-09-03,2003-02-05,0,0,0,1,0,0,0,0
35,Teamo Supremo,Phil Walsh,3,76,11,2002-01-19,2004-08-17,0,0,1,0,1,0,0,0
